,userNickname,title,formattedDate,text,isRecommended,rating,badges,positiveFeedbackCount,negativeFeedbackCount
0,Pia87,I really like them.,"August 6, 2025",They are very comfortable and the colors are beautiful.,True,5,['IncentivizedReview'],0,0
1,Miora13,Always best purchase with adidas,"August 6, 2025","The combination of the colors is perfect, very good quality",True,5,[],0,0
2,adifan2,love these!,"August 6, 2025","have these in multiple colors and really love the way they look. they are retro cool, and honestly, I need a few more!",True,5,[],0,0
3,Chris,Wouldn't pick it again,"August 6, 2025",Go 1/2 size up and the color is more like a lilac tone than neutral or silver.,False,3,['IncentivizedReview'],0,0
4,A.k3,"Sizing issues, looks great , but not comfortable","August 6, 2025","My normal size was too big, smaller size was too small. Some sizing issues with this shoes. Looks nice and material are great, but size problems and comfort problems",False,1,[],0,0
5,Pony,Great Style,"August 6, 2025","They are comfortable, and I love the style. I do notice that certain colors do run longer than others.",True,5,['IncentivizedReview'],0,0
6,cozy,Love,"August 6, 2025","Ive gotten so many compliments on these.  Light weight, comfortable and sharp looking.",True,5,['IncentivizedReview'],0,0
7,hipFro,Retro bold,"August 4, 2025",I love the bold retro style! So glad I bought the green with orange stripes because the colors actually pair well with many outfits. I followed the advice to size down a half size and they fit perfectly comfortable. Nice and lightweight too.,True,5,['IncentivizedReview'],0,0
8,EvonsStyle,Beautiful collab!,"August 4, 2025",amazing collab.  beautiful design and fantastic fit as always,True,5,[],0,0
9,Ingrid17,The product had traces of shoe glue,"August 3, 2025","The product had traces of shoe glue, which had never happened to me with shoes from this brand.",False,1,['IncentivizedReview'],0,0
10,Nada97,SL 72 OG Review,"August 3, 2025","Amazing quality, stylish, comfy and so lightweight",True,5,['VerifiedPurchaser'],0,0
11,No49,nice addition to shoe collection,"August 3, 2025",Cute style and I really like the colors.  Fit well also.,True,5,['IncentivizedReview'],0,0
12,Cait,Love these can’t wait to order another color,"August 1, 2025",They are comfy & stylish. A lot of people commented on how they look so neat on.,True,5,[],0,0
13,Samuel,Best ever,"July 31, 2025","My wife love this shoes, she really use all days for many ocassions",True,5,[],2,0
14,Kaya54,Vibrant Color,"July 30, 2025","Great design. Very comfortable, and vibrant color.",True,5,['IncentivizedReview'],1,0
15,Pattyrc,Best purchase ever,"July 30, 2025",Very comfortable and very nice style of I feel it is a super comfortable shoe and very cute design,True,5,['IncentivizedReview'],1,0
16,Lakers0615,Cute and comfy! Runs 1/2 size big,"July 30, 2025","These are super cute and comfortable once I exchanged for the correct size. I wear 8.5 in every shoe, except this one. Go a half size down! Perfect once I got the 8’s!",True,5,['IncentivizedReview'],0,0
17,Bird161,Great revival!,"July 29, 2025",Comfy! Nostalgic. I wore these in the 70’s to high school. I’m a NY Liberty fan and I wore them to a game since the colors match the team colors. They coordinated with my Liberty jersey.,True,5,['IncentivizedReview'],1,0
18,Vpick,Need to fix the sizes.,"July 29, 2025",I said no on recommending because of the sizes being bigger than any of my other athletic shoes. My size 6 shoes are a good thumb+ too big for me.,False,2,['IncentivizedReview'],0,0
19,Gabymnz27,Beautiful,"July 28, 2025","These shoes are very comfortable, I feel that they were a little big, but they were perfect. They combine with everything, with very cute!",True,5,[],0,0
20,Hannah,"Cute, comfy, but narrow","July 28, 2025","So cute and comfy, but maybe not for people with wide feet. I got about 8 months of comfortable wear out of these before they started to rip. I do have somewhat wide feet and the nylon material started wearing down on from my big toe rubbing against it. I love these but am hesitant to buy another pair. Might be better with a leather or suede outer that can stretch.",True,4,[],0,0
21,Nishluvs,"I love the style, look, and fit of this shoe.","July 28, 2025",Loved all the colorways but settled on this one. Love the retro but modern look. Trying to decide which adidas shoe style is my fave and this one is certainly at the top!!,True,5,[],0,0
